employee_id,first_name,last_name,gender,email,phone_number,department,designation,salary,city,state,country,joining_date,employment_status,manager_id,experience_years,performance_rating,bonus_percentage,created_date
9728,Leena,  Choudhry  ,Unknown,DUPLICATE@company.com,9811435415,,Senior Analyst123,2533086,Secunderabad,tamil nadu,IND,01-01-1900,INACTIVE,NULL,1.9,4,2.81,2021-08-25
5123,nikita,  Walia  ,M,  nikita@company.com  ,XXXXXXXXXX,Data,,0,,,IN,01-01-1900,INACTIVE,NULL,16.9,5,15.71,2024-11-13
2842,  Wishi  ,MASTER,Male,  wishi@company.com  ,+91 9823363899,,Intern123,-6553,,Kerala,India ,01-01-1900,ACTIVE,-1,1.4,9,-5,2099-01-01
10358,Sudiksha!@#,Dave!@#,M,not-an-email,+919794931145,OPERATIONS,VP,468847,,telangana,Bharat,2026-06-16,Terminated,NULL,4.6,2,3.26,20/10/2024
3995,Indrajit!@#,Varty!@#,M,indrajit_varty@company,,IT,CONSULTANT,2102145,BARANAGAR,Maharashtra,,31-13-2023,,-1,17.0,4,22.53,
8659,samuel,Sagar!@#,F,DUPLICATE@company.com,9823833135,PRODUCT,MANAGER,1262107,,Haryana,india,,Terminated,2490,19.2,9,29.83,19/07/2024
8190,JHALAK,GOYAL,male,jhalak_goyal@company,+1-387-6751,PRODUCT,,499465,RAJPUR SONARPUR,himachal pradesh,Bharat,2022/05/10,ACTIVE,10938,24.5,9,12.78,
9349,Anvi,desai,female,  anvi@company.com  ,XXXXXXXXXX,OPERATIONS,,1180943,Ludhiana,goa,india,2013-07-01,Terminated,-1,7.6,5,,2022-06-08
2722,Janya,MADAN,M,Janya@,+919829335496,  Finance,,2941843,Suryapet,,,2011-09-30,On Leave,NULL,7.5,4,22.83,
2770,Nitesh!@#,Modi,Unknown,nitesh_modi@company,,,Analyst123,2846858,Jhansi,maharashtra,IND,2013-04-12,,99999999,1.5,5,5.71,2099-01-01
7473,damyanti,sem,male,not-an-email,9816914893,  HR,Director,2953664,,,INDIA,,ACTIVE,-1,13.8,5,1.37,2099-01-01
10232,  Kabir  ,PURI,Unknown,kabir_puri@company,123456,  Sales,ANALYST,-15459,NAIHATI,sikkim,IND,2026-12-19,,-1,0.3,7,21.91,
7452,Ikbal,sood,male,ikbal.sood@company.com,,IT,Senior Analyst,2088430,PARBHANI,,INDIA,2027-02-24,Active,10885,11.5,9,5.28,22/10/2025
10969,falguni,  Banerjee  ,M,falguni.banerjee@company.com,123456,engineering,Senior Analyst,2315050,Bhiwandi,,Bharat,2026-08-18,Active,NULL,19.1,3,1.31,2022-10-20
5876,wriddhish,,F,wriddhish.patla@company.com,123456,engineering,ANALYST,-46007,Kumbakonam,West Bengal,INDIA,31-13-2023,Inactive,6468,7.4,7,25.09,2025-04-18
4766,Shivani!@#,  Deo  ,MALE,,XXXXXXXXXX,engineering,Intern,-10741,,,india,2017-11-14,Inactive,-1,10.7,4,5.44,2099-01-01
7756,Faras!@#,Grewal!@#,MALE,  faras@company.com  ,,,Senior Analyst123,2533359,ANAND,manipur,,01-01-1900,Terminated,,3.2,7,10.58,2024-12-28
5762,  Yatin  ,viswanathan,male,DUPLICATE@company.com,+916905110100,HR,Analyst,,Raebareli,maharashtra,,01-01-1900,Inactive,10530,11.8,NULL,3.3,
6754,Gavin!@#,bumb,,not-an-email,+1-815-5907,engineering,Manager123,355404,KOCHI,Mizoram,INDIA,,On Leave,-1,2.0,1,105,26/11/2024
3149,vasatika,walla,male,vasatika_walla@company,,IT,CONSULTANT,999999999,Bidhannagar,punjab,India ,01-01-1900,INACTIVE,,6.5,1,9.18,2099-01-01
8220,  Adweta  ,,male,not-an-email,+91 8326016489,legal,SENIOR MANAGER,-14220,,Nagaland,INDIA,,,1749,2.6,7,23.36,2021-07-07
3875,  Radha  ,  Bal  ,M,radha_bal@company,,OPERATIONS,Analyst,999999999,Coimbatore,,india,2022/05/10,Inactive,,18.8,5,15.01,
10795,Theodore,  Batra  ,,not-an-email,123456,,MANAGER,-41002,AMBATTUR,manipur,India ,2026-06-07,ACTIVE,9965,12.5,NULL,18.26,2022-05-01
7355,  Nirja  ,BHARGAVA,M,DUPLICATE@company.com,9873520009,IT,VP123,1502192,GWALIOR,karnataka,india,,active,7123,7.4,3,105,01/08/2023
6467,AARAV,master,Unknown,aarav.master@company.com,,,Lead,0,,,India,2012-01-01,Inactive,3954,21.9,5,18.62,14/06/2024
1526,indira,Chandra!@#,Female,,9815138168,LEGAL,,2683231,,,India ,2026-06-27,Active,NULL,1.6,5,18.13,
5154,Chatura!@#,  Wali  ,M,chatura.wali@company.com,9867516899,finance,Manager123,,,,india,2012-10-16,Terminated,99999999,10.1,5.0,21.37,
3603,Ranveer!@#,BIR,OTHER,,+1-561-3059,  Sales,VP,,SASARAM,Uttarakhand,INDIA,31-13-2023,Terminated,99999999,,1,28.01,2099-01-01
9888,Vritti!@#,Sura!@#,OTHER,vritti.sura@company.co.in,,sales,Analyst,-31069,AURANGABAD,bihar,india,2022/05/10,ACTIVE,NULL,7.7,4,3.74,2021-11-18
8529,Tara,REDDY,,tara.reddy@company.com,9848910317,,Senior Analyst123,0,,,,01-01-1900,INACTIVE,NULL,0.4,2,3.11,
10414,Simon!@#,MALHOTRA,OTHER,simon.malhotra@company.com,+919611078020,  Product,,-12168,AMARAVATI,,IND,2022/05/10,Active,-1,16.5,3,27.08,09/06/2024
8552,lopa,Pillai,OTHER,,+91 9596338806,Marketing,Associate,-1756,Nagpur,assam,india,,INACTIVE,,12.9,NULL,2.99,2099-01-01
7338,Bhavna!@#,SHUKLA,male,bhavna_shukla@company,+1-123-2694,  Marketing,Senior Manager,-10295,Singrauli,Rajasthan,India ,2026-12-02,INACTIVE,-1,5.5,2,25.21,2024-07-24
8728,  Yutika  ,Doshi!@#,M,not-an-email,XXXXXXXXXX,legal,Senior Analyst123,-40321,INDORE,telangana,IN,2026-08-01,Active,9782,15.6,,12.6,
4542,aadi,Verma!@#,F,aadi_verma@company,123456,,VP123,-27210,Dewas,chhattisgarh,,2022/05/10,Inactive,99999999,5.4,5,6.59,
8645,  Onkar  ,D’Alia,OTHER,onkar.d’alia@company.co.in,123456,HR,Lead123,1361425,,,INDIA,,active,7526,11.2,2,8.15,
3459,  Hredhaan  ,  Dhingra  ,Female,hredhaan.dhingra@company.com,+1-834-6388,  Sales,,0,TIRUVOTTIYUR,Sikkim,  india  ,,ACTIVE,10960,8.9,5.0,105,21/11/2022
4425,Lakshmi!@#,,male,lakshmi.rege@company.co.in,XXXXXXXXXX,  Legal,VP123,1291625,BURHANPUR,uttarakhand,India,31-13-2023,On Leave,7600,5.0,5,-5,2022-02-21
3057,  Urvashi  ,  Murthy  ,OTHER,urvashi_murthy@company,XXXXXXXXXX,,Analyst123,2988956,Raebareli,Himachal Pradesh,India,2026-06-05,Inactive,-1,2.4,4,21.7,
2184,GAGAN,MUKHERJEE,male,gagan.mukherjee@company.com,XXXXXXXXXX,  Finance,Senior Manager123,877821,,Punjab,india,,INACTIVE,8321,20.3,,16.13,
10349,ekani,  Chauhan  ,Female,  ekani@company.com  ,+91 8398804641,Data,Lead123,355063,,Rajasthan,India ,2026-11-21,active,-1,24.4,3,21.93,
3194,Banjeet,Nayar!@#,F,banjeet_nayar@company,,Product,SENIOR ANALYST,2233381,,Mizoram,IN,01-01-1900,,NULL,5.5,2,29.25,2025-05-20
4500,Viraj!@#,CHAUDHRY,Male,viraj.chaudhry@company.co.in,+1-298-5816,SALES,,2370376,Raurkela Industrial Township,jharkhand,India,2014-06-30,Terminated,2888,9.9,5,10.01,2022-10-22
9574,Atharv!@#,BHARGAVA,F,,123456,data,,,CHANDRAPUR,,india,2027-05-18,On Leave,6163,13.3,3,26.48,
2874,indali,DUA,M,indali.dua@company.com,+918097264035,SALES,Lead123,,,Odisha,  india  ,2026-08-24,Inactive,NULL,0.3,2,10.02,2099-01-01
3098,  Isaac  ,  Ram  ,male,  isaac@company.com  ,XXXXXXXXXX,  IT,Lead,0,,Meghalaya,IND,2022/05/10,active,4381,24.7,4,14.59,18/11/2024
10063,David,  Mall  ,female,david.mall@company.co.in,+91 8530370695,  Finance,,2208524,,,INDIA,2022/05/10,On Leave,,17.0,,13.48,2099-01-01
8655,CHAVVI,sachdeva,male,chavvi_sachdeva@company,XXXXXXXXXX,Data,Consultant,999999999,HINDUPUR,tamil nadu,IND,2012-07-29,ACTIVE,,7.6,9,23.99,2025-03-13
3964,Oscar!@#,SULE,male,,XXXXXXXXXX,  Operations,SENIOR MANAGER,2046140,New Delhi,,IN,,,,,9,7.46,06/06/2024
1790,  Wridesh  ,Bhavsar!@#,,wridesh.bhavsar@company.co.in,+1-128-1432,Finance,MANAGER,2734048,,Arunachal Pradesh,INDIA,31-13-2023,Active,,17.4,9,20.55,2026-01-24
3106,UPASNA,SANGHVI,male,DUPLICATE@company.com,123456,  IT,Consultant,,,Nagaland,IND,01-01-1900,On Leave,NULL,1.4,4,105,2024-09-18
4753,TRIVENI,shan,F,triveni_shan@company,+1-952-9287,IT,Intern,999999999,Navi Mumbai,manipur,IN,01-01-1900,,-1,2.9,3,105,2026-01-07
8145,Yashawini,Uppal!@#,male,,123456,marketing,Manager123,750199,,Punjab,India,2006-05-10,INACTIVE,99999999,16.4,5,22.25,2024-09-09
8118,Mitali!@#,Char!@#,male,mitali.char@company.com,XXXXXXXXXX,  Data,Lead123,0,BANGALORE,punjab,INDIA,01-01-1900,On Leave,NULL,,5,28.88,21/06/2023
9712,Yuvraj,Pall,male,not-an-email,,,Lead,488446,SALEM,Telangana,India ,2022/05/10,active,,11.8,2,17.28,
5922,KALPIT,  Kota  ,MALE,kalpit.kota@company.com,+1-428-2763,,ASSOCIATE,-38603,,,India ,2026-10-24,Terminated,-1,1.5,1,1.12,
6274,XITI,PILLAI,female,xiti.pillai@company.co.in,9883360838,  Finance,Intern123,2286979,,,INDIA,2027-03-13,Inactive,-1,,3,2.89,17/04/2026
8280,anvi,Jha,female,anvi.jha@company.com,123456,finance,Intern,2541535,Danapur,tripura,INDIA,2022/05/10,Active,9945,19.6,5.0,3.54,01/03/2025
4661,ZILMIL,Sanghvi,female,zilmil.sanghvi@company.com,+91 7011968176,,Analyst,,Jammu,Punjab,India,2027-02-14,active,-1,,5,6.02,
2433,Zaid,RANA,Unknown,DUPLICATE@company.com,9861959009,,Analyst123,2604958,TIRUVOTTIYUR,,Bharat,2022/05/10,Active,,,2,5.89,2024-11-05
2614,YATAN,sidhu,Male,yatan_sidhu@company,+91 6243329601,hr,,-43939,CHINSURAH,,India ,01-01-1900,Inactive,NULL,22.2,,17.04,
9266,  Caleb  ,  Dubey  ,F,,XXXXXXXXXX,,VP123,999999999,RATLAM,Rajasthan,IN,2027-03-10,Inactive,,21.5,1,9.08,
5419,Bachittar,BHAVSAR,Male,,+916080953576,,Lead123,1241405,Rajpur Sonarpur,tripura,,01-01-1900,ACTIVE,99999999,0.5,2,8.11,2099-01-01
9163,Onkar,LANKA,female,onkar.lanka@company.co.in,+91 9718334842,  Engineering,Intern123,2077692,PUNE,jharkhand,IND,2026-10-11,INACTIVE,,8.4,3,7.88,2021-10-15
4504,Yauvani!@#,,male,  yauvani@company.com  ,XXXXXXXXXX,  Operations,,1409466,,Sikkim,India ,2022/05/10,Terminated,7695,6.2,5.0,10.13,2026-04-02
5880,  Vrinda  ,Sankar!@#,M,Vrinda@,+91 8707281860,Operations,INTERN,2425334,NAGERCOIL,goa,IND,31-13-2023,Active,99999999,23.8,4,7.74,2022-03-12
9307,yoshita,Pai,female,yoshita.pai@company.co.in,+91 6306631333,data,,0,GUDIVADA,Jharkhand,india,31-13-2023,On Leave,10687,1.9,2,15.33,
7584,andrew,Chaudhuri,Male,not-an-email,,  Sales,Consultant123,999999999,Mahbubnagar,himachal pradesh,India ,,,NULL,18.6,4,21.39,2099-01-01
6956,RAKSHA,Bora!@#,OTHER,  raksha@company.com  ,XXXXXXXXXX,,VP,999999999,Dharmavaram,meghalaya,IND,01-01-1900,On Leave,NULL,19.2,2,13.67,2099-01-01
4634,Ronith!@#,chatterjee,M,DUPLICATE@company.com,+917131191832,  Sales,VP123,723605,SINGRAULI,Himachal Pradesh,INDIA,,INACTIVE,NULL,10.2,3,4.45,19/08/2021
8140,Rachit,MAMMEN,Male,rachit_mammen@company,+1-559-7699,,,,KARAIKUDI,nagaland,INDIA,,active,-1,3.0,7,26.95,14/02/2025
9970,Noah!@#,Aurora,Unknown,noah.aurora@company.co.in,9853325492,MARKETING,Consultant,1467091,FARIDABAD,,INDIA,2026-10-23,Inactive,NULL,7.0,NULL,6.97,03/11/2025
1736,jagat,tiwari,Female,Jagat@,,HR,MANAGER,-33005,,arunachal pradesh,,,On Leave,NULL,22.9,5,22.6,2022-06-07
4823,  Maanav  ,KHALSA,female,maanav_khalsa@company,9839855629,  Finance,,,Muzaffarpur,bihar,india,2022/05/10,Inactive,NULL,12.3,4,,2023-12-09
4833,  Champak  ,Radhakrishnan!@#,M,DUPLICATE@company.com,+918217518354,ENGINEERING,Senior Manager,2639319,Kurnool,mizoram,india,01-01-1900,ACTIVE,99999999,9.4,4,20.2,2099-01-01
1665,  Lajita  ,Dua!@#,OTHER,  lajita@company.com  ,+91 8333942404,it,Consultant123,2175579,Ambarnath,,Bharat,31-13-2023,INACTIVE,-1,4.5,1,6.96,18/04/2026
9920,Amol!@#,  Ben  ,male,  amol@company.com  ,+1-928-8240,data,Associate,,South Dumdum,,India ,,On Leave,,0.7,2,6.45,2022-04-09
6431,ABHIMANYU,RAO,female,  abhimanyu@company.com  ,9884208202,data,INTERN,0,Vijayanagaram,,Bharat,,Terminated,1224,15.1,1,105,2024-12-17
10908,  Bimala  ,,F,bimala.bawa@company.com,+1-932-7190,PRODUCT,,,FATEHPUR,karnataka,,01-01-1900,On Leave,99999999,19.8,2,-5,04/03/2022
8329,  Jagvi  ,kapadia,Female,,+1-582-7169,HR,INTERN,0,ANAND,jharkhand,  india  ,2005-06-26,,NULL,19.6,2,22.3,2026-04-26
6669,Mahika!@#,  Chhabra  ,female,not-an-email,9894545602,IT,Senior Manager123,651855,DINDIGUL,,  india  ,2027-03-17,Active,NULL,0.6,9,13.41,2099-01-01
10639,KALA,mann,Unknown,DUPLICATE@company.com,+1-420-4862,,Manager,-28898,Jhansi,West Bengal,  india  ,2026-08-01,Terminated,8170,,1,17.96,03/12/2021
1516,Simon!@#,  Bhargava  ,Female,simon.bhargava@company.co.in,XXXXXXXXXX,  IT,MANAGER,999999999,GHAZIABAD,madhya pradesh,Bharat,31-13-2023,,,13.1,5,26.23,2099-01-01
1957,hema,SAMI,Male,,+1-304-2537,marketing,Manager,-41958,Bhatpara,,India,31-13-2023,Active,NULL,20.7,5,-5,13/07/2024
8516,dayita,mahajan,Female,Dayita@,+916544189915,  Data,Director123,0,KOTA,mizoram,India,2027-01-28,On Leave,,19.2,4,16.83,2021-11-28
2028,SARTHAK,Sachdeva!@#,OTHER,DUPLICATE@company.com,,,Manager123,0,KARIMNAGAR,,  india  ,2027-04-05,On Leave,,11.9,1,,27/11/2024
3685,Varenya!@#,dass,Male,  varenya@company.com  ,+1-889-6668,PRODUCT,LEAD,-25523,,,  india  ,,ACTIVE,6382,19.7,5,16.74,2099-01-01
8235,Theodore!@#,  Kakar  ,male,theodore.kakar@company.com,123456,,Consultant123,1028848,,Himachal Pradesh,INDIA,01-01-1900,On Leave,3157,15.2,9,-5,2022-01-27
9195,  Upkaar  ,cheema,MALE,upkaar.cheema@company.com,,engineering,Lead,-28287,RAIPUR,Karnataka,india,2026-07-12,,NULL,1.6,5.0,105,
3687,  Pranav  ,PATLA,female,DUPLICATE@company.com,+91 8440285587,Product,ASSOCIATE,,Thrissur,Uttar Pradesh,IND,01-01-1900,active,8543,18.7,5,0.1,
7089,  Urvi  ,borah,MALE,  urvi@company.com  ,9840327888,OPERATIONS,,1387809,,,INDIA,01-01-1900,,3794,18.5,1,11.38,21/06/2022
8376,  Oviya  ,Nayak,Unknown,,9878890262,,,-8556,,Chhattisgarh,India ,31-13-2023,INACTIVE,10641,24.8,7,19.38,2021-12-25
5438,kalpit,  Mohanty  ,M,DUPLICATE@company.com,+917885528054,  Sales,Analyst123,2124390,Rajkot,,india,31-13-2023,,NULL,11.9,1,27.09,
1345,ISHWAR,bawa,male,Ishwar@,+91 8439491050,Product,,-23682,,Odisha,India,2026-09-10,ACTIVE,6039,19.4,3,12.02,
7892,  Gaurav  ,,M,  gaurav@company.com  ,9873189799,,Associate123,1318133,Warangal,,IND,2022/05/10,active,-1,6.1,5.0,25.37,03/10/2023
1857,Yamini,sarin,female,  yamini@company.com  ,,,Senior Analyst,1264998,Chittoor,,,2022/05/10,On Leave,,16.7,5,0.81,2099-01-01
3583,banjeet,Chaudhry,Female,DUPLICATE@company.com,+918816934201,,Lead,2710391,,rajasthan,India ,01-01-1900,INACTIVE,7922,,5,12.65,04/06/2024
4466,Eiravati!@#,Prabhu,female,eiravati_prabhu@company,+1-534-9711,Operations,SENIOR ANALYST,-23093,JUNAGADH,karnataka,india,2022/05/10,Active,NULL,20.1,1,11.18,2021-10-10
2244,  Amaira  ,CHERIAN,Unknown,,+1-465-7833,it,,0,BULANDSHAHR,Mizoram,  india  ,2026-12-19,On Leave,99999999,22.2,2,7.57,
1553,nathan,Bahl,MALE,DUPLICATE@company.com,9820272507,  Marketing,Lead,,MANGALORE,,,2026-06-11,ACTIVE,-1,6.9,2,20.67,
6234,JHALAK,Munshi!@#,F,jhalak.munshi@company.co.in,+91 7180200114,  Data,Director123,1060261,,Uttarakhand,India,01-01-1900,On Leave,NULL,15.4,NULL,23.81,2099-01-01
5998,Anya,Varkey,OTHER,  anya@company.com  ,XXXXXXXXXX,finance,,-10946,THANE,uttarakhand,india,31-13-2023,INACTIVE,99999999,17.7,2,18.34,26/06/2025
10316,  Chakradhar  ,Seshadri!@#,Male,not-an-email,+1-270-6761,,VP,2358383,MORENA,Punjab,,2013-08-13,INACTIVE,,18.7,2,9.12,2099-01-01
10728,  Chaaya  ,Maharaj!@#,MALE,,123456,marketing,Manager123,0,,Haryana,,31-13-2023,Active,NULL,24.6,2,16.5,28/08/2025
2233,HEMANGINI,gaba,MALE,hemangini_gaba@company,XXXXXXXXXX,  Marketing,SENIOR ANALYST,,Nadiad,,India,01-01-1900,INACTIVE,99999999,16.3,1,12.31,
10169,aishani,  Bail  ,Female,aishani.bail@company.com,123456,  Marketing,Lead123,,Jalgaon,manipur,,2026-08-20,,2145,21.9,4,28.11,2023-09-19
6450,  Kalpit  ,Salvi,Female,kalpit.salvi@company.com,+917258266784,,Consultant,,,,IND,2026-07-23,ACTIVE,10500,21.6,4,-5,
5193,  Nidhi  ,BASSI,,DUPLICATE@company.com,XXXXXXXXXX,,,0,GANGTOK,Goa,IND,,ACTIVE,,3.5,5,14.48,2099-01-01
4576,  Vihaan  ,Chand!@#,male,not-an-email,+1-250-5789,data,VP,-14871,PATNA,Telangana,IN,01-01-1900,INACTIVE,99999999,7.7,5,17.03,
5176,Ira!@#,Jayaraman,,not-an-email,9860985606,sales,MANAGER,999999999,AMRITSAR,Jharkhand,India,2022/05/10,,10330,12.5,1,11.34,
10440,Harini,Patla,Unknown,harini_patla@company,9817512810,hr,VP,1327969,DHANBAD,,  india  ,01-01-1900,Terminated,,10.0,,-5,2099-01-01
8622,Avni,SARAF,female,avni_saraf@company,+1-219-8240,ENGINEERING,Senior Manager,1201749,,sikkim,India,2013-01-17,,99999999,14.6,2,13.93,01/02/2023
1913,Ladli,  Krishnan  ,male,,123456,  Engineering,,767539,Katihar,,  india  ,2027-02-08,On Leave,-1,15.0,3,5.3,2099-01-01
9896,CHANDANI,gulati,male,,XXXXXXXXXX,  Finance,LEAD,-45032,Hindupur,,IND,,On Leave,99999999,17.2,NULL,5.81,12/09/2023
2074,ayaan,  Loyal  ,female,DUPLICATE@company.com,+1-676-7447,Operations,Senior Manager123,1783156,,Haryana,,2026-09-11,ACTIVE,NULL,11.8,1,9.11,2099-01-01
2981,Unni,  Mahajan  ,Female,unni_mahajan@company,,,Associate,0,RAICHUR,nagaland,,2001-04-30,active,99999999,14.0,7,6.45,06/10/2024
10500,Nicholas!@#,bhat,MALE,,9836842781,operations,,-35801,Durgapur,madhya pradesh,india,31-13-2023,,,22.0,7,105,28/12/2021
1362,Varenya,RAVAL,M,varenya_raval@company,+1-537-7493,HR,Lead,367953,Gopalpur,goa,,,,99999999,5.0,7,7.77,2022-05-14
6300,Irya,KARNIK,MALE,DUPLICATE@company.com,123456,,,2253350,Nellore,rajasthan,INDIA,,INACTIVE,-1,14.0,5.0,4.75,2099-01-01
6780,  Banjeet  ,Devi,female,DUPLICATE@company.com,123456,  Engineering,INTERN,-10717,Kalyan-Dombivli,Goa,  india  ,2026-06-20,active,NULL,0.5,1,12.81,2099-01-01
5900,baljiwan,TRIVEDI,M,DUPLICATE@company.com,123456,HR,Senior Manager123,-30282,Naihati,,INDIA,2018-04-08,On Leave,99999999,4.1,4,6.99,2024-09-05
2686,  Widisha  ,parmer,Female,  widisha@company.com  ,+91 8052903974,Marketing,Senior Manager123,0,,Punjab,,31-13-2023,Terminated,-1,12.2,5,22.49,07/04/2025
8969,jeevika,krish,Unknown,not-an-email,,ENGINEERING,,2040117,Jehanabad,Jharkhand,  india  ,01-01-1900,On Leave,6982,22.4,2,,
2460,Ekani,DUGAL,female,ekani.dugal@company.com,+1-135-3364,Engineering,Lead123,-48351,Phusro,Uttar Pradesh,Bharat,2020-02-14,INACTIVE,2087,10.1,NULL,25.24,23/06/2025
4092,Zinal!@#,  Sehgal  ,M,  zinal@company.com  ,+1-474-2579,  Legal,CONSULTANT,999999999,Bidar,Manipur,India,01-01-1900,INACTIVE,99999999,21.4,2,0.02,
10252,Mitesh,Edwin,male,not-an-email,123456,HR,Director123,2950297,Khandwa,meghalaya,India,2026-09-29,INACTIVE,6285,16.5,5.0,29.22,06/12/2024
8135,nachiket,  Gill  ,Unknown,DUPLICATE@company.com,XXXXXXXXXX,it,VP,2344115,BALLIA,Mizoram,India,,ACTIVE,NULL,21.7,9,12.17,2025-06-16
7828,  Irya  ,  Basak  ,male,DUPLICATE@company.com,+1-184-9269,  Product,MANAGER,-45602,PANIHATI,gujarat,Bharat,2027-04-03,Active,NULL,24.4,,3.61,
10837,Vansha,bala,Unknown,vansha.bala@company.co.in,XXXXXXXXXX,,Manager123,,,Madhya Pradesh,INDIA,,ACTIVE,99999999,2.5,5.0,19.03,2023-04-10
5366,girindra,rana,OTHER,girindra.rana@company.co.in,9835953856,engineering,ASSOCIATE,-9091,,Manipur,India,2006-03-06,Inactive,NULL,12.0,,29.16,2024-09-02
2828,Kalpit,CHAHAL,female,,123456,,Lead123,-12039,AURANGABAD,Rajasthan,INDIA,,active,-1,11.0,1,16.24,28/11/2024
1961,  Abdul  ,Chandra,female,abdul.chandra@company.co.in,+91 8864650760,,ANALYST,1228569,SHIVPURI,,INDIA,2022/05/10,INACTIVE,99999999,21.6,1,21.72,11/05/2026
1186,ZAYYAN,chaudry,female,zayyan.chaudry@company.co.in,123456,,Intern123,999999999,DEHRADUN,odisha,IND,2009-09-07,Terminated,,21.0,1,2.96,2099-01-01
2789,  Gaurav  ,  Chaudry  ,female,Gaurav@,+1-902-1783,finance,DIRECTOR,,,,IND,2022/05/10,Inactive,NULL,20.0,5.0,25.48,
7602,Ucchal!@#,Butala!@#,F,,+1-459-6521,sales,DIRECTOR,-22152,BURHANPUR,,  india  ,,ACTIVE,99999999,18.0,3,9.39,25/05/2026
3252,Anay!@#,kala,female,  anay@company.com  ,123456,data,Senior Analyst,-15734,BHUBANESWAR,Goa,India,2022/05/10,Terminated,,2.3,5,26.31,
2307,Rudra!@#,Parmer!@#,Unknown,Rudra@,+1-968-9496,  IT,Senior Manager123,1826596,,,IND,31-13-2023,Inactive,NULL,7.4,1,25.73,
3691,Vinaya!@#,MAND,MALE,Vinaya@,XXXXXXXXXX,  Product,Intern,2385126,,Nagaland,india,2022/05/10,Active,-1,24.5,1,15.22,
4719,ABHA,Suri!@#,OTHER,not-an-email,,finance,,-38346,KORBA,chhattisgarh,INDIA,,Active,99999999,18.0,2,28.42,2026-03-17
2142,Alexander,mander,M,alexander.mander@company.com,+91 8789181877,Data,Senior Analyst123,1925087,GIRIDIH,,india,2026-11-22,Inactive,NULL,18.3,3,7.46,04/06/2021
5219,AMRUTA,KANDA,Unknown,,XXXXXXXXXX,Operations,LEAD,0,,,India,,active,,6.5,4,10.54,26/11/2022
2521,Chakradev,basu,,not-an-email,,Marketing,Consultant,,Sirsa,nagaland,  india  ,2022/05/10,Terminated,,8.6,5.0,27.38,2099-01-01
5835,BACHITTAR,  Sanghvi  ,M,Bachittar@,XXXXXXXXXX,IT,Consultant123,,KAKINADA,,  india  ,01-01-1900,INACTIVE,,19.6,5,20.06,2099-01-01
7359,Gaurav!@#,DHAR,,gaurav_dhar@company,+1-595-7370,marketing,Lead,0,NELLORE,assam,INDIA,01-01-1900,active,99999999,7.3,1,12.13,2025-05-18
4569,Sneha!@#,Randhawa,M,  sneha@company.com  ,9816002311,OPERATIONS,,-47794,BAREILLY,assam,INDIA,2022/05/10,Terminated,NULL,24.1,1,105,
6700,ADVAY,Rau,F,,123456,sales,Manager123,0,Firozabad,,IN,01-01-1900,INACTIVE,-1,20.7,3,25.13,
8689,  Divya  ,  Shankar  ,OTHER,,+916465969822,Finance,Senior Analyst123,-6669,Surat,nagaland,India,2010-07-08,Inactive,4747,22.6,1,5.5,09/03/2025
